example_id	sentence	dataset	index	guideline	type	gpt_type	type_name	is_valid_gpt	is_valid_human_1	is_valid_human_2
4842	Don't believe this stupid twat	dynahate	21608	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4843	Some animals are just stupid	dynahate	40864	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
4844	Gee mate, non-native Arabic teachers are the stupidest creatures I've seen! Throw another brain cell on the barbie	dynahate	8348	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4845	Leftists are fucking retarded	dynahate	40833	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4846	It's not fair to say that women are stupid	dynahate	36717	attacking intellectual capability	1	1	Counter hate or referencing hate	0	1	1
4849	you are such a unbearable stupid supremists prick	dynahate	6867	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4850	disabled people are not stupid	dynahate	37032	attacking intellectual capability	1	1	Counter hate or referencing hate	0	1	1
4851	Politicians are retards	dynahate	7180	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4852	Stupid chads and roasties! Always fucking bullying women with their disgusting stereotypes and slurs	dynahate	20172	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4853	Sexists are morons	dynahate	21401	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4854	you are morons	dynahate	14382	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4855	Idiot.	dynahate	14495	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4858	Soooo stupid, this idiot stating his view that transgender like you don't deserve rights	dynahate	12077	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4859	"They're all idiots. Look at society. They protest constantly against good things. They have taken over every job and anything that brings money or joy to someone. Heavy on the brainwashing. Where is the resistance? Nowhere. they only come around when women are talking about men, to scold them and say ""not all men are like that."" To say ""as a man"" and tell him about her heroic job and happy husband fountain of white babies. They're all stunning and brave and if you disagree a man will be at your door to lift his fist at you. Not all scum? We warned you. Don't want to take the warning? You don't have to. You're assuming they are telling you how to live your life. We're not. We lead by example only. Don't want to follow it then don't. Go your own way."	dynahate	31972	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4860	blonde people are not smart	dynahate	23335	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4861	Women are (not) stupid	dynahate	38100	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4862	So bored of stupid people acting smart.	dynahate	18652	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4863	liberals are dumb as fuck	dynahate	37503	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4864	I can't stand loathsome, moronic idiots like you.	dynahate	25696	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4867	only stupid people say indigenous women are pocahontas. Fuck you all brainless idiots!	dynahate	6696	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4868	kids are dumb	dynahate	20001	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4869	women are not dumb bitches	dynahate	35090	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4870	These stupid fucking pricks who don't understand manners.	dynahate	25463	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4871	I don't know of any stupid black dudes, fuck you!	dynahate	8031	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4872	some people are just rude, they arent racist they're stupid. This guy to me said im an ugly chink piece of crap. Sure it hurt at the time but quickly you get over it. I mean im fed up with the bullshit������� but what can you do?	dynahate	5175	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4873	They are dumb i can not teach them anymore	dynahate	4618	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4874	Is it hard being so dumb? Being stupid in mind as well as appearance? Just go away	dynahate	6520	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4875	zombie brains, why the fuck did the USA go and give white supremacists phones and internet...a complete waste!!....you can tell the dumbest ones by the lump on their foreheads from getting into fights five times a day. Angry morons	dynahate	15186	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4877	i_x0019_m dumb as shit	dynahate	23036	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4878	she is stupid she should kill herself	dynahate	4629	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4879	"Literally witnessing multiple verbal attacks a day in the name of nationalism, groups murdering everyone who isn't a white all over the West, beheadings, and then to top it all off mass rapes of those poor refugees = ""You stupid racist nationalist, stop seeing patterns. You just hate brown people!"""	dynahate	23490	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4880	"""you little brown piece of shit!"" hahaha I mean shit is literally brown, right? So once againi this genius tries to attack us indians and just shows his own stupidity"	dynahate	5189	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4882	The self loathing left are a rabid breed of idiots that seem to want to be ass raped by barbarians	dynahate	23573	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4883	they are incredibly petty. What a total idiot	dynahate	17923	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4884	Cows are the most stupid animal on earth	dynahate	3857	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
4885	The white race isn't superior. BUT, some stupid people think blacks are generally inferior to every other race.	dynahate	19288	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4887	what a stupid ugly looking woman.	dynahate	27971	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4888	Don't be silly! Low IQ savages are just that. Bringing them here doesn't magically turn them into intelligent beings.	dynahate	32231	attacking intellectual capability	2	5	Derogatory Speech Towards Non-Protected Entities	1	1	1
4890	People who believe that immigrants are a burden to society are so stupid!	dynahate	535	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4892	The working class are tired of being called a bunch of uneducated, inbred, racist idiots	dynahate	30468	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4893	oh for god sake dumbies get it, why can't you?	dynahate	17252	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4894	They behave in such foolish ways that I'm suprised they're still around.	dynahate	6172	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4895	These idiotic Trumpies need to be reminded of their place	dynahate	8577	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4897	monkeys are dumb shit animals	dynahate	4752	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
4899	Unofortunately those people know they are much too stupid and lazy to achieve anything on their own, because they never, ever have done so. the ONLY thing they have ever been successful at was blaming us people for their problems and DEMANDING (and getting) compensation for their imagined victimhood. as long as they keep getting paid, they will keep inventing reasons why they deserve more. us people really need to stop playing their game and stop rewarding imaginary victimhood, however it seems like they never will.	dynahate	14823	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4902	well, she isn't intelligent nor polite, so she has nothing what so ever to do with our people. Hopefully, some day they'll realise it	dynahate	17046	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4903	This silly world we live in is quite crap	dynahate	40738	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	0	1	1
4905	Oh my love, those dudes are just brainless, don't mess with them	dynahate	6439	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4907	as a disabled, I'm sick of people treating me like I'm a fucking moron	dynahate	37197	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4908	Roots in that shithole directly mean they are idiots with no notion of how to spend money well, what a bunch of ninnytwits.	dynahate	8256	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4909	Of course they aren't in their right mind! What did you expect? According to racists and trolls, all of them are 'criminal, degenerate, brainwashed, inbred, communist Jews'. They are eugenics fanatics. They have no reason, decency or truth in them.	dynahate	21610	attacking intellectual capability	1	1	Counter hate or referencing hate	1	1	1
4910	how can a person be so ignorant	dynahate	8188	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4912	they are the fucking worst. dumbest, lowest iq, uncontrollable emotions, .. even their own family can't bear them	dynahate	17597	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4914	monkeys should not be compared to humans they're fucking stupid	dynahate	4754	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4915	Homosexuals must think most people are so ignorant	dynahate	40759	attacking intellectual capability	3	3	Neutral analytical discussion	1	1	1
4916	The feeble-minded people that around us are too easily manipulated and intimidated by the savage bigot and tory creatures.	dynahate	23044	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4917	I feel like such a stupid cunt	dynahate	40456	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4920	Donald Trump is such a fucking moron	dynahate	37329	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4921	women are not dumb	dynahate	35089	attacking intellectual capability	1	1	Counter hate or referencing hate	0	1	1
4922	Let me correct that for you: white supremacist men that are also right-wingers are the stupidest demographic.	dynahate	16214	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
4924	It is wrong to say anyone is dumb or stupid based on their race. All people have the right to be seen with the respect they deserve.	gpt	-1	attacking intellectual capability	1	1	Counter hate or referencing hate	-1	-1	-1
4925	It is wrong to say Asians are stupid or intellectually deficient.	gpt	-1	attacking intellectual capability	1	1	Counter hate or referencing hate	-1	-1	-1
4926	It is wrong to say we should target Jews for their intellectual capacity.	gpt	-1	attacking intellectual capability	1	1	Counter hate or referencing hate	-1	-1	-1
4927	It is wrong to say women lack intellectual capacity; instead, we should support and empower women to reach their full potential.	gpt	-1	attacking intellectual capability	1	1	Counter hate or referencing hate	-1	-1	-1
4928	It is wrong to say we should hate all Muslims because of their intellectual capacity.	gpt	-1	attacking intellectual capability	1	1	Counter hate or referencing hate	-1	-1	-1
4929	It is wrong to discount or Dismiss the value that the disabled bring to society.	gpt	-1	attacking intellectual capability	1	1	Counter hate or referencing hate	-1	-1	-1
4930	It is wrong to say that trans people are unintelligent.	gpt	-1	attacking intellectual capability	1	1	Counter hate or referencing hate	-1	-1	-1
4931	We don't care about your stupid boyfriend, we want you.	manual	0	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
4932	tik tok is fucking stupid	manual	0	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
4933	stupid fucking mk proposal image except its mkulia send tweet	manual	0	attacking intellectual capability	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5001	I hate racist people	dynahate	36467	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5002	I hate people who hate whites	dynahate	38723	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5003	I hate people who hate gays	dynahate	38728	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5004	I hate people who hate blacks	dynahate	38712	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5005	I hate people who hate foreigners	dynahate	38734	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5006	I hate people who hate immigrants	dynahate	38732	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5007	I hate people who hate white people	dynahate	38722	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5008	I hate people who hate black people	dynahate	111	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5009	I hate people who hate gay people	dynahate	38729	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5010	I hate people who hate brown people	dynahate	38714	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5011	I hate some people	dynahate	35714	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5012	I hate white supremacists	dynahate	36497	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5014	I hate people who hate refugees	dynahate	38733	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5015	I hate people who are anti gay-rights	dynahate	36498	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5016	I hate people who hate latinos	dynahate	41126	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5017	I hate misogynists	dynahate	36472	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5018	I hate this racist society!	dynahate	36552	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5019	I hate people	dynahate	36504	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5020	I hate people who hate African people	dynahate	38727	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5021	I hate people who hate muslims	dynahate	38711	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5022	I hate people who hate women	dynahate	38731	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5023	I hate people who hate jews	dynahate	298	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5024	I hate people who hate africans	dynahate	38726	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5025	I'm pissed off with some people spreading their hate, denigrating women who do not fit their blonde, neat submissive ideals	dynahate	20695	contempt despise hate	2	1	Derogatory Speech Towards Non-Protected Entities	0	1	1
5026	I hate people who hate asians	dynahate	38715	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5027	I hate people who hate jewish people	dynahate	38725	contempt despise hate	1	1	Counter hate or referencing hate	0	1	1
5029	I hate people who hate handicapped people	dynahate	38730	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5030	I hate hate	dynahate	36523	contempt despise hate	2	1	Derogatory Speech Towards Non-Protected Entities	1	1	1
5031	I hate people who hate disabled people	dynahate	38721	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5032	I hate all those commies	dynahate	215	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5033	it annoys me when people say they hate black people	dynahate	38738	contempt despise hate	1	3	Counter hate or referencing hate	0	1	1
5034	I hate that people dislike black people purely because of their complexion	dynahate	40400	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5035	I hate people who hate asian people	dynahate	38716	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5037	I_x0019_m sick of people that hate Jews and say they should be exterminated	dynahate	36868	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5039	I hate it when they say black people are not human and they should be killed	dynahate	35203	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5040	"I heard someone say ""I hate muslims, they are just hate filled drones, extremist and intolerant instead of real people"". That hurt me!"	dynahate	937	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5041	I hate people who hate Indians	dynahate	38718	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5043	They hate me because I'm black	dynahate	39870	contempt despise hate	3	1	Neutral analytical discussion	1	1	1
5045	These hateful guys are unlovable	dynahate	7146	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5046	I hate people who hate Indian people	dynahate	38719	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5049	There's nothing i hate more than seeing trans people getting oppressed	dynahate	40786	contempt despise hate	1	4	Counter hate or referencing hate	1	1	1
5051	Muslims hate hate	dynahate	927	contempt despise hate	4	4	Advocacy for Protected Groups	1	1	1
5052	I fucking hate people who think women are inferior	dynahate	36972	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5053	I HATE ALL THE HICK ASS PEOPLE IN THIS BUMMY ASS TOWN GO DO SOMETHING WITH YOUR KIFE EXCEPT BE RACIST AND HATE GAY PEOPLE MAN.	dynahate	30886	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5054	I hate the concept of hate	dynahate	34769	contempt despise hate	2	3	Derogatory Speech Towards Non-Protected Entities	1	1	1
5055	I hate it when they say jews are not human and they should be killed	dynahate	35201	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5057	I hate haters	dynahate	36526	contempt despise hate	2	1	Derogatory Speech Towards Non-Protected Entities	1	1	1
5058	I hate it when they say muslims are weird and they should be killed	dynahate	35200	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5059	I hate it when they say jews are rats	dynahate	35467	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5060	I despise those filthy fuckin' lefties         And the traits they share with simians         Disgusting people, support recipients         They're livin' off of someone's money who pays tax and has a life         While their stomachs stay fat with parasites         And they have to have a drink to relax on average nights         So their bratty tykes all act like savage types         It's the legacy of these and those guys         Vagrancy and general complacency of dads who have no wives         Police should beat their fuckin' skulls in with magnum lights         Illegitimate illiterate people should have no rights         Cause they go from having lives to having life         And I pay to feed their appetites and give them TVs with satellites         Those theivin' stealin' dirty fuckers dealing dope need to steal a boat         Sail their asses away from here         And seal the coast with giant gates made of steel and bolts         So we can try and save the decent folk....	dynahate	26511	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5061	I hate the idea of killing all blacks	dynahate	34858	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5063	it annoys me when people say they hate muslims	dynahate	38737	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5064	I hate people who hate Chinese people	dynahate	38717	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5065	You know I fucking hate them	dynahate	40276	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5066	it annoys me when people say they hate women	dynahate	38739	contempt despise hate	1	1	Counter hate or referencing hate	0	1	1
5068	I hate it when people say all jews should have been gassed and killed	dynahate	35154	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5071	I hate it when they say gay people are abnormal and they should be killed	dynahate	35172	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5073	i hate liberal cunts	dynahate	140	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5074	I hate misogyny its disgusting	dynahate	39643	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5075	I hate black and white thinking with a fucking passion.	dynahate	34204	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5077	I hate that people think you can say that you can exterminate the Jews. wtf!	dynahate	9147	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5079	I realised how society is hateful when we allowed them to exist equally to us.	dynahate	7150	contempt despise hate	3	3	Neutral analytical discussion	1	1	1
5081	I hate it when people eyeball me in the street, like all black men are thugs	dynahate	37698	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5083	I hate fake people	dynahate	31779	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5085	I hate people who hate Pakistani people	dynahate	38720	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5086	I hate that blacks cannot roam the streets	dynahate	40875	contempt despise hate	1	4	Counter hate or referencing hate	1	1	1
5087	i hate them liberal yuppies	dynahate	35546	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5088	This poor guy. God, I hate them.	dynahate	24575	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5089	I hate how supremacist people lack humanitarian values because their quest for dominance is more impending. Dicks.	dynahate	25588	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5090	Y'all gotta realize that a lot of men straight-up hate women...and a lot of women straight-up hate men too. But these people will dress it up in a gross brand of enlightened victimhood.	dynahate	30271	contempt despise hate	3	3	Neutral analytical discussion	1	1	1
5091	it is disgusting to see so much hate for 'unholy gay people'	dynahate	40540	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5092	I hate that people think you can say, exterminate the Jews. wtf!	dynahate	9158	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5094	it is disgusting to see so much hate for 'selfish jews'	dynahate	40541	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5095	I hate that people think you can say immigrants are all lazy	dynahate	9202	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5096	"i am afraid thats just blind racism, and that is nothing but plain stupidity ""we hate niggers and jews because there niggerish and jewish"" - some sort of kkk speech"	dynahate	27983	contempt despise hate	1	1	Counter hate or referencing hate	1	1	1
5097	the amount of fucking hate muslims get is disgusting	dynahate	40815	contempt despise hate	1	3	Counter hate or referencing hate	0	1	1
5098	I hate it when people say that immigrants should go back home	dynahate	963	contempt despise hate	1	1	Counter hate or referencing hate	0	1	1
5101	I hate communists	dynahate	36521	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	1	1	1
5102	I despise that person's actions.	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5103	i hate how easily i can go from happy to sad	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5104	I despise the way you always try to be the smartest person in the room.	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5105	I despise everything this administration stands for.	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5106	I despise laziness.	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5107	I despise the way he talks.	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5108	I despise petty gossip.	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5109	I hate this game..	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5110	I hate myself for the two words I said after being raped	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5111	i hate fake people who cant stand with what they believe in	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5112	I GENUINELY F*CKING HATE THEM…	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5113	I simply hate poor men. This is a luxury fetish for a fucking reason!	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5114	bitches hate that i want to be loved romantically	gpt	-1	contempt despise hate	2	2	Derogatory Speech Towards Non-Protected Entities	-1	-1	-1
5994	Jews are 1.8% of the United States population and yet they are disproportinately discriminated by the meda. Horrible people control the world that's for sure.	dynahate	12894	harmful stereotype	3	3	Neutral analytical discussion	1	1	1
5995	Jews are industrious	dynahate	6000	harmful stereotype	4	4	Advocacy for Protected Groups	0	1	1
5997	"I hate this narrative that Jews are ""a rather small, devious, parasitic group, basically a sort of rootless gypsies before they stole their ""god given"" country, that have developed certain ways to survive and prosper, just like any other pests."""	dynahate	33196	harmful stereotype	1	5	Counter hate or referencing hate	1	1	1
6000	Nazis characterized Jews as subhumans	dynahate	38204	harmful stereotype	3	3	Neutral analytical discussion	1	1	1
6001	Jews can experience racism because it is made to stigmatise them. My mind is made up. We gotta change this hellhole without white people on top, running this country that make degrading policies against minorities.	dynahate	12849	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6002	The Nazis hated the Jews.	dynahate	39676	harmful stereotype	3	3	Neutral analytical discussion	1	1	1
6003	Jews were targeted for extermination	dynahate	38167	harmful stereotype	3	3	Neutral analytical discussion	1	1	1
6005	I'm sick of hearing all jews are a lowlife scum	dynahate	501	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6007	Those Fucking people don't even know what they want. They take their marching orders from their oppressive jew-hating government, they just don't realize it.	dynahate	14865	harmful stereotype	2	5	Derogatory Speech Towards Non-Protected Entities	1	1	1
6008	jews have a history of abuse and exploitation. For centuries they were ripped off by people to grow rich and powerful, now they are going to get what they actually deserve once Biden takes office	dynahate	7077	harmful stereotype	3	4	Neutral analytical discussion	1	1	1
6009	People that hate jews say they are disgusting rats and they are wrong	dynahate	35469	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6011	Jews have a religious prerogative to be secretly racist haters against, and cause harm to, nonjews and most whites In particular. Jews are a nation, a race and a religion. Zionism is Jewish National Socialism' said the crazy man rocking back and forth haha!	dynahate	34438	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6012	Jews are overrepresented in these fields because they tend to teach their kinds about finances earlier on in their lives , and support each other's business ventures. Something the rest of us could adopt to push them out of that space without actually gassing them.	dynahate	31143	harmful stereotype	3	3	Neutral analytical discussion	1	1	1
6015	jews are Esau - direct quote	dynahate	31128	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6017	That is stupid considering there's a large percentage of jews living in poverty. Juts think you are barely making end's meet and hearing constant rants about how you are corrupting society. The elite corrupt jews don't give a fuck about them.	dynahate	31148	harmful stereotype	3	3	Neutral analytical discussion	1	1	1
6019	"Thank you for calling out the root cause of this issue. I can't believe people believe the Jews are the ones responsible for every single bad thing of the past 100 years and the vast majority of bad things going 5000 years back. Apparently they did 9/11 on purpose to pit Muslims and Christian USA against each other, create more terrorism, unstable unsafe world and mass immigration to boot. I saw someone comment that as our armies will destroy the east, their people running from our armies will be radicalized, infiltrated by satanic Jews and turned against us while being welcomed to our lands by Jews running our countries so they can destroy them. Somehow, this is the only way to reduce the worlds population by more than 90% which is ""Jewish prophecy"" they MAKE come true to sacrifice us to the god they really worship, Moloch....Sure."	dynahate	18171	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6020	rat has been used to degrade jews for centuries to compare to vermin and perpetuate the idea that jews are subhuman.	dynahate	30326	harmful stereotype	3	3	Neutral analytical discussion	1	1	1
6021	It is wrong to say that Jews are despicable bugs	dynahate	36867	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6024	This is literally victim-mongering from the most powerful''they are the ones violently attacking Jewish and Muslim people	dynahate	24419	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6025	stop saying that jews are vile	dynahate	38787	harmful stereotype	1	1	Counter hate or referencing hate	0	1	1
6026	I was told that people in my country hate Jews because we are rich and greedy	dynahate	37167	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6027	Dirty Jews, as we are usually called, tend to be the smartes	dynahate	11664	harmful stereotype	4	4	Advocacy for Protected Groups	1	1	1
6028	It's been decades after Hitler and people keep saying that jews are rats, what's wrong with them?	dynahate	35054	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
6031	The nations that throw the Jews out end up in less standing in the end because of the horrendous actions they're doing	dynahate	26470	harmful stereotype	3	3	Neutral analytical discussion	1	1	1
6037	"I found this horrendous statement on some racist forum: ""There is only one way to peace and prosperity and that is to eliminate ALL jews and other non-Whites from our lands and economies and to take back what the jews, NEGROIDS, arabs, chinese, etc have stolen from us, but first they must leave ALL White lands and no more globalism we must be self-sufficient, not relying on any other country for ANYTHING!! Only when we have done this will OUR God bless us again and bring prosperity and sanity to our people and lands, WAKE UP PEOPLE, THIS IS ALL ABOUT RACE AND IT ALWAYS HAS BEEN!! Now you know why jews attack us and brainwash our children into thinking it is wrong to promote your own people, this is how they have managed to get the upper hand, just think about how racist they are AND every other race is!! Being racially aware is healthy and good this is the number one reason our White lands are so sick!! PS ALL of this is in the bible, this is what God says White people are supposed to do, WE ARE THE TRUE ISRAELITE PEOPLE, THE DESCENDANTS OF ADAM, NOAH, MOSES, ABRAHAM, JACOB-ISRAEL, ETC NOT THOSE FILTHY EDOMITES AND CAANANITES!!"""	dynahate	18197	harmful stereotype	1	1	Counter hate or referencing hate	1	1	1
